date,inverter_id,kwh
2024-11-12,Symo Advanced 20.0-3-M (1),22.63891
2024-11-13,Symo Advanced 20.0-3-M (1),14.99593
2024-11-14,Symo Advanced 20.0-3-M (1),5.48432
2024-11-15,Symo Advanced 20.0-3-M (1),4.32466
2024-11-16,Symo Advanced 20.0-3-M (1),17.99279
2024-11-17,Symo Advanced 20.0-3-M (1),12.288
2024-11-18,Symo Advanced 20.0-3-M (1),18.36781
2024-11-19,Symo Advanced 20.0-3-M (1),20.01225
2024-11-20,Symo Advanced 20.0-3-M (1),0.28687
2024-11-21,Symo Advanced 20.0-3-M (1),0.23106
2024-11-22,Symo Advanced 20.0-3-M (1),1.87926
2024-11-23,Symo Advanced 20.0-3-M (1),6.21308
2024-11-24,Symo Advanced 20.0-3-M (1),3.08981
2024-11-25,Symo Advanced 20.0-3-M (1),1.88922
2024-11-26,Symo Advanced 20.0-3-M (1),7.91147
2024-11-27,Symo Advanced 20.0-3-M (1),4.54919
2024-11-28,Symo Advanced 20.0-3-M (1),12.11129
2024-11-29,Symo Advanced 20.0-3-M (1),1.04504
2024-11-30,Symo Advanced 20.0-3-M (1),0.73574
2024-12-01,Symo Advanced 20.0-3-M (1),6.942
2024-12-02,Symo Advanced 20.0-3-M (1),1.2915
2024-12-03,Symo Advanced 20.0-3-M (1),2.04805
2024-12-04,Symo Advanced 20.0-3-M (1),2.29439
2024-12-05,Symo Advanced 20.0-3-M (1),2.17674
2024-12-06,Symo Advanced 20.0-3-M (1),0.17647
2024-12-07,Symo Advanced 20.0-3-M (1),0.88629
2024-12-08,Symo Advanced 20.0-3-M (1),2.87146
2024-12-09,Symo Advanced 20.0-3-M (1),4.4808
2024-12-10,Symo Advanced 20.0-3-M (1),5.99295
2024-12-11,Symo Advanced 20.0-3-M (1),4.00834
2024-12-12,Symo Advanced 20.0-3-M (1),2.66783
2024-12-13,Symo Advanced 20.0-3-M (1),1.14861
2024-12-14,Symo Advanced 20.0-3-M (1),0.59602
2024-12-15,Symo Advanced 20.0-3-M (1),0.01199
2024-12-16,Symo Advanced 20.0-3-M (1),4.53565
2024-12-17,Symo Advanced 20.0-3-M (1),4.86763
2024-12-18,Symo Advanced 20.0-3-M (1),0.21206
2024-12-19,Symo Advanced 20.0-3-M (1),1.55792
2024-12-20,Symo Advanced 20.0-3-M (1),0.56132
2024-12-21,Symo Advanced 20.0-3-M (1),0.13092
2024-12-22,Symo Advanced 20.0-3-M (1),0.85348
2024-12-23,Symo Advanced 20.0-3-M (1),0.09816
2024-12-24,Symo Advanced 20.0-3-M (1),0.76882
2024-12-25,Symo Advanced 20.0-3-M (1),2.42226
2024-12-26,Symo Advanced 20.0-3-M (1),4.0712
2024-12-27,Symo Advanced 20.0-3-M (1),5.40052
2024-12-28,Symo Advanced 20.0-3-M (1),5.11666
2024-12-29,Symo Advanced 20.0-3-M (1),2.96544
2024-12-30,Symo Advanced 20.0-3-M (1),5.98659
2024-12-31,Symo Advanced 20.0-3-M (1),6.7176
2025-01-01,Symo Advanced 20.0-3-M (1),2.09946
2025-01-02,Symo Advanced 20.0-3-M (1),2.89695
2025-01-03,Symo Advanced 20.0-3-M (1),8.48512
2025-01-04,Symo Advanced 20.0-3-M (1),8.31213
2025-01-05,Symo Advanced 20.0-3-M (1),7.74753
2025-01-06,Symo Advanced 20.0-3-M (1),1.33844
2025-01-07,Symo Advanced 20.0-3-M (1),0.47872
2025-01-08,Symo Advanced 20.0-3-M (1),0.28391
2025-01-09,Symo Advanced 20.0-3-M (1),0.00024
2025-01-10,Symo Advanced 20.0-3-M (1),0.03427
2025-01-11,Symo Advanced 20.0-3-M (1),0.81771
2025-01-12,Symo Advanced 20.0-3-M (1),0.47268
2025-01-13,Symo Advanced 20.0-3-M (1),0.04821
2025-01-14,Symo Advanced 20.0-3-M (1),0.90113
2025-01-15,Symo Advanced 20.0-3-M (1),0.7599
2025-01-16,Symo Advanced 20.0-3-M (1),3.2663
2025-01-17,Symo Advanced 20.0-3-M (1),3.23886
2025-01-18,Symo Advanced 20.0-3-M (1),5.31007
2025-01-19,Symo Advanced 20.0-3-M (1),17.79368
2025-01-20,Symo Advanced 20.0-3-M (1),3.49864
2025-01-21,Symo Advanced 20.0-3-M (1),0.23956
2025-01-22,Symo Advanced 20.0-3-M (1),0.21076
2025-01-23,Symo Advanced 20.0-3-M (1),0.00747
2025-01-24,Symo Advanced 20.0-3-M (1),1.80578
2025-01-25,Symo Advanced 20.0-3-M (1),5.81955
2025-01-26,Symo Advanced 20.0-3-M (1),11.19917
2025-01-27,Symo Advanced 20.0-3-M (1),11.78181
2025-01-28,Symo Advanced 20.0-3-M (1),1.6895
2025-01-29,Symo Advanced 20.0-3-M (1),0.30016
2025-01-30,Symo Advanced 20.0-3-M (1),0.83832
2025-01-31,Symo Advanced 20.0-3-M (1),0.80478
2025-02-01,Symo Advanced 20.0-3-M (1),0.9175
2025-02-02,Symo Advanced 20.0-3-M (1),0.49629
2025-02-03,Symo Advanced 20.0-3-M (1),0.41345
2025-02-04,Symo Advanced 20.0-3-M (1),0.36924
2025-02-05,Symo Advanced 20.0-3-M (1),0.70084
2025-02-06,Symo Advanced 20.0-3-M (1),1.90145
2025-02-07,Symo Advanced 20.0-3-M (1),1.11389
2025-02-08,Symo Advanced 20.0-3-M (1),0.18937
2025-02-09,Symo Advanced 20.0-3-M (1),2.02562
2025-02-10,Symo Advanced 20.0-3-M (1),2.51209
2025-02-11,Symo Advanced 20.0-3-M (1),4.24756
2025-02-12,Symo Advanced 20.0-3-M (1),13.56278
2025-02-13,Symo Advanced 20.0-3-M (1),15.43322
2025-02-14,Symo Advanced 20.0-3-M (1),16.72255
2025-02-15,Symo Advanced 20.0-3-M (1),7.10281
2025-02-16,Symo Advanced 20.0-3-M (1),16.0124
2025-02-17,Symo Advanced 20.0-3-M (1),22.94887
2025-02-18,Symo Advanced 20.0-3-M (1),26.60192
2025-02-19,Symo Advanced 20.0-3-M (1),35.69796
2025-02-20,Symo Advanced 20.0-3-M (1),35.04818
2025-02-21,Symo Advanced 20.0-3-M (1),23.70008
2025-02-22,Symo Advanced 20.0-3-M (1),14.08813
2025-02-23,Symo Advanced 20.0-3-M (1),27.51095
2025-02-24,Symo Advanced 20.0-3-M (1),8.28575
2025-02-25,Symo Advanced 20.0-3-M (1),15.31606
2025-02-26,Symo Advanced 20.0-3-M (1),49.66642
2025-02-27,Symo Advanced 20.0-3-M (1),38.1701
2025-02-28,Symo Advanced 20.0-3-M (1),60.90814
2025-03-01,Symo Advanced 20.0-3-M (1),31.14835
2025-03-02,Symo Advanced 20.0-3-M (1),27.30931
2025-03-03,Symo Advanced 20.0-3-M (1),34.57145
2025-03-04,Symo Advanced 20.0-3-M (1),40.00952
2025-03-05,Symo Advanced 20.0-3-M (1),37.99854
2025-03-06,Symo Advanced 20.0-3-M (1),26.04199
2025-03-07,Symo Advanced 20.0-3-M (1),67.09375
2025-03-08,Symo Advanced 20.0-3-M (1),67.7385
2025-03-09,Symo Advanced 20.0-3-M (1),10.74125
2025-03-10,Symo Advanced 20.0-3-M (1),9.66813
2025-03-11,Symo Advanced 20.0-3-M (1),49.37629
2025-03-12,Symo Advanced 20.0-3-M (1),52.86271
2025-03-13,Symo Advanced 20.0-3-M (1),54.50287
2025-03-14,Symo Advanced 20.0-3-M (1),85.49831
2025-03-15,Symo Advanced 20.0-3-M (1),41.39983
2025-03-16,Symo Advanced 20.0-3-M (1),81.37617
2025-03-17,Symo Advanced 20.0-3-M (1),23.05805
2025-03-18,Symo Advanced 20.0-3-M (1),47.60662
2025-03-19,Symo Advanced 20.0-3-M (1),58.19198
2025-03-20,Symo Advanced 20.0-3-M (1),49.74543
2025-03-21,Symo Advanced 20.0-3-M (1),93.16148
2025-03-22,Symo Advanced 20.0-3-M (1),100.62496
2025-03-23,Symo Advanced 20.0-3-M (1),105.08622
2025-03-24,Symo Advanced 20.0-3-M (1),69.16513
2025-03-25,Symo Advanced 20.0-3-M (1),37.63446
2025-03-26,Symo Advanced 20.0-3-M (1),84.6646
2025-03-27,Symo Advanced 20.0-3-M (1),65.4739
2025-03-28,Symo Advanced 20.0-3-M (1),51.53937
2025-03-29,Symo Advanced 20.0-3-M (1),100.88809
2025-03-30,Symo Advanced 20.0-3-M (1),81.00122
2025-03-31,Symo Advanced 20.0-3-M (1),116.9818
2025-04-01,Symo Advanced 20.0-3-M (1),97.99216
2025-04-02,Symo Advanced 20.0-3-M (1),91.47714
2025-04-03,Symo Advanced 20.0-3-M (1),122.06217
2025-04-04,Symo Advanced 20.0-3-M (1),113.61758
2025-04-05,Symo Advanced 20.0-3-M (1),86.2881
2025-04-06,Symo Advanced 20.0-3-M (1),37.52037
2025-04-07,Symo Advanced 20.0-3-M (1),103.15139
2025-04-08,Symo Advanced 20.0-3-M (1),121.18847
2025-04-09,Symo Advanced 20.0-3-M (1),120.35846
2025-04-10,Symo Advanced 20.0-3-M (1),38.75882
