phase,pct,thr,mae,seconds
fine,12,0.6547999999999999,3.439992383147637,1.85
fine,13,0.68,3.5200093318873242,1.58
fine,14,0.7228,3.688452768062909,1.49
fine,15,0.76,3.5367722550019423,1.13
fine,16,0.8532,3.5757085893536407,0.85
fine,17,0.9452,3.41752432370011,1.79
fine,18,1.0144,3.194366122677803,0.95
fine,19,1.1276,3.342342389048338,1.43
fine,20,1.2080000000000002,3.1548288077745434,1.22
coarse,20,1.2080000000000002,3.1548288077745434,1.41
fine,21,1.3084,3.3810742120316024,1.54
fine,22,1.4475999999999998,3.47235739048934,1.34
fine,23,1.5964000000000007,3.5589988280882037,1.51
fine,24,1.7687999999999995,3.651859939674496,1.54
coarse,25,1.88,3.543315726970593,1.66
fine,25,1.88,3.543315726970593,2.11
fine,26,1.9452,3.4965496519753927,1.2
fine,27,2.5524,3.3862597386417392,2.34
fine,28,2.85,3.367007832311948,1.81
coarse,30,3.4059999999999997,3.3881744801740643,1.64
coarse,35,4.59,3.450042011671622,1.27
coarse,40,5.774000000000001,3.21029238731726,1.37
coarse,45,7.146000000000001,3.270131163712501,1.78
coarse,50,8.34,3.2301350601582524,1.44
coarse,55,9.976000000000003,3.227854767542203,0.91
coarse,60,11.691999999999998,3.1676743289613722,1.6
coarse,65,13.326,3.2876146029218036,1.36
coarse,70,15.409999999999998,3.2812932353229516,1.23
coarse,75,17.11,3.2770860836914375,1.06
coarse,80,18.726,3.2693512594710983,0.91
